Time_sec,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,Fz,Cz,Pz
0.0,-34.44861014220473,42.95151757991114,20.42237529238647,-28.281363048545472,-24.508312351362235,-25.282766462733058,-23.497761692022898,-19.543423842299873,12.205525769011341,-52.19116260668041,-30.436442356767273,-9.826658660364991,1.2388952284797394
0.00390625,-36.016512718410475,57.164767575222285,41.01978915569504,-29.98267071864541,0.9148987095887018,-9.862132805908605,-6.836089177816711,-27.56510036013879,-3.8207590347883515,-23.06230445806202,-26.332871207169152,30.5678698799859,-6.182062657633605
0.0078125,-48.02164460647386,41.06437278759714,58.68744547628468,-41.27233153979721,14.242801341694047,-1.1047355446544276,13.911756442585654,-25.35612726520427,-17.542424878847683,-4.830125010417384,-13.099423675794979,44.33507228402844,-14.345102664107827
0.01171875,-56.84459894644158,25.850490275819695,50.95488231751937,-46.00239262024347,10.59817651947183,20.441505381849293,14.398700019222574,-31.887873621705765,-31.288308869429528,-3.3481663650488103,-9.851862545749544,59.16087490379505,-27.20166758852132
0.015625,-56.026380198106395,1.1680790168317012,48.47473703557686,-47.1652758504443,9.846936498227404,20.240221880248782,12.383292690508409,-15.15710514011413,-35.31669660944183,-21.592429255884625,3.559069114138861,55.09473832248503,-15.900712643441729
0.01953125,-34.239438432771664,-17.272548719119957,30.21090048635167,-40.76443345787857,-2.291848147858799,25.389398404476346,2.5708717080109333,6.381709935946935,-10.889992447760932,-32.00252935436906,17.20023471508243,58.336916677947514,1.4943414517338751
0.0234375,-17.12462707442264,-15.340253901497942,14.862754482134076,-57.26255027139227,-23.461314660095,0.927731430501435,-15.760370281101112,12.429229450972247,12.997535158634486,-53.719005623136404,14.614270345613978,51.383884605804894,24.955570762289277
0.02734375,11.459376844765874,2.0999123100133845,7.599343082797932,-52.638714889896434,-42.097795092647544,-24.810454793000343,-28.498634009248292,-11.233776273434763,15.312223470709307,-56.05376865282292,-7.414335780748601,44.58118632821873,27.483443569953053
0.03125,37.444403775564254,7.1516469330150265,2.3065737054055093,-47.14473506245221,-43.776099112125806,-49.11663350156991,-49.08388759013994,-39.060924769278664,1.5599472399323966,-49.78791129379209,-16.95599432916117,26.40223787657073,15.16116803526026
0.03515625,37.97403440432628,9.5126414736914,3.0960146556652384,-33.52697761776692,-37.80483849947786,-60.61135583731574,-45.961503493511046,-46.681331414603875,-17.743302474279492,-40.93532934283133,-31.413203651602636,26.51506492318802,11.421034660238343
0.0390625,25.149068148460508,25.393739586198546,28.97221158815013,-2.2253380744199753,-27.035075942605708,-42.96674884102168,-37.71061348660791,-52.47590026178672,-33.238151565370856,-36.778876389078874,-29.444019056466857,30.558262914639318,23.60376056005577
0.04296875,16.80359457674962,18.934279675233675,39.04455439162939,16.121745782778778,-22.638781253306675,-20.196717160904456,-21.0209668523022,-50.90850016907002,-51.732645583365134,-18.85876641203875,-24.5672597014553,27.295449684639962,28.946970535773637
0.046875,-3.326301204072539,13.280819640712565,41.66920433717049,23.736615814022564,-29.094643105460342,-20.542938012645692,-28.69514656932275,-41.3399729084548,-58.60618652563738,-21.76892733916079,-27.944122973588765,27.757110173682968,30.08872660873706
0.05078125,-21.110611076367725,4.959579586646632,36.007038354718745,0.3613708004313648,-22.315612148741995,-1.7223151004291655,-29.710667329619525,-29.385367489693678,-48.20334621910372,-24.72877605310906,-21.66371144990178,25.218863944386406,13.357580065072153
